year,n_total,n_amp,n_chl,n_cot,n_cip_ns,n_cef,n_azi,n_mdr,pct_amp,pct_chl,pct_cot,pct_cip_ns,pct_cef,pct_azi,pct_mdr,period
1999,16,9,7,7,9,1,0,6,56.25,43.75,43.75,56.25,6.25,0,37.5,1999–2004
2000,33,12,11,11,28,1,0,11,36.36363636363637,33.33333333333333,33.33333333333333,84.84848484848484,3.0303030303030303,0,33.33333333333333,1999–2004
2001,44,25,25,25,42,0,0,25,56.81818181818182,56.81818181818182,56.81818181818182,95.45454545454545,0,0,56.81818181818182,1999–2004
2002,45,36,36,36,43,0,0,36,80,80,80,95.55555555555556,0,0,80,1999–2004
2003,29,19,20,20,25,0,0,18,65.51724137931035,68.96551724137932,68.96551724137932,86.20689655172413,0,NA,62.06896551724138,1999–2004
2004,129,74,76,76,117,0,0,74,57.36434108527132,58.91472868217055,58.91472868217055,90.69767441860465,0,NA,57.36434108527132,1999–2004
2005,502,312,317,314,468,0,0,308,62.15139442231076,63.147410358565736,62.54980079681275,93.22709163346613,0,0,61.354581673306775,2005–2009
2006,803,511,522,515,760,0,0,507,63.63636363636363,65.00622665006227,64.214463840399,94.6450809464508,0,0,63.13823163138231,2005–2009
2007,781,424,415,413,753,0,0,394,54.289372599231754,53.34190231362468,52.8809218950064,96.41485275288092,0,0,50.44814340588989,2005–2009
2008,663,316,280,277,641,0,0,252,47.66214177978884,42.23227752639517,41.77978883861237,96.68174962292609,0,0,38.009049773755656,2005–2009
2009,236,126,96,97,234,0,0,96,53.38983050847458,40.85106382978723,41.63090128755365,99.15254237288136,0,0,40.67796610169492,2005–2009
2010,309,124,64,62,304,0,0,60,40.390879478827365,20.915032679738562,20.26143790849673,98.38187702265373,0,0,19.41747572815534,2010–2014
2011,256,117,68,69,253,0,0,64,45.703125,26.77165354330709,26.953125,98.828125,0,0,25,2010–2014
2012,237,83,57,55,229,0,0,48,35.0210970464135,24.152542372881356,23.20675105485232,96.62447257383965,0,0,20.253164556962027,2010–2014
2013,210,71,54,51,210,0,2,48,33.80952380952381,25.71428571428571,24.285714285714285,100,0,1.694915254237288,22.857142857142858,2010–2014
2014,213,66,57,57,212,0,5,56,30.985915492957744,26.76056338028169,26.76056338028169,99.53051643192488,0,4.3478260869565215,26.291079812206576,2010–2014
2015,216,54,53,52,215,0,2,50,25,24.537037037037038,24.074074074074073,99.53703703703704,0,1.4598540145985401,23.14814814814815,2015–2018
2016,567,153,157,154,549,0,10,146,27.03180212014134,27.836879432624112,27.353463587921844,96.82539682539682,0,2.8328611898017,25.749559082892414,2015–2018
2017,1360,319,247,241,1305,0,17,230,23.455882352941178,18.16176470588235,17.72058823529412,95.95588235294117,0,1.328125,16.911764705882355,2015–2018
2018,1866,597,392,373,1834,0,10,359,32.01072386058981,21.007502679528404,20,98.28510182207931,0,0.5589714924538848,19.239013933547696,2015–2018
2019,1546,385,249,242,1538,0,29,230,24.902975420439844,16.116504854368934,15.683732987686325,99.48253557567918,0,1.9876627827278959,14.877102199223804,2019–2022
2020,570,126,118,116,558,0,20,110,22.105263157894736,20.701754385964914,20.350877192982455,97.89473684210527,0,3.90625,19.298245614035086,2019–2022
2021,506,89,76,76,490,0,6,73,17.588932806324113,15.019762845849801,15.019762845849801,96.83794466403161,0,1.185770750988142,14.42687747035573,2019–2022
2022,1298,248,240,232,1266,0,18,224,19.106317411402156,18.489984591679505,17.873651771956855,97.5346687211094,0,1.386748844375963,17.257318952234208,2019–2022
